brance_id,branch_name,phone,location,province
1,Ohkajhu Organic,061-274-9977,Nongjom,Chiangmai
2,Ohkajhu Airport,098-545-2492,Nimcity,Chiangmai
3,Siam Square One,082-444-2251,Siam Square One,Bangkok
4,Ratchapruk,096-698-1666,The Circle Ratchapruk,Bangkok
5,Dadfa Lasalle,097-126-4947,Dadfa Lasalle,Bangkok
6,Siam Square Soi 2,062-309-4545,Siam Square Soi 2,Bangkok
7,The Paseo Park Kanjanapisek,097-921-9555,The Paseo Park Kanjanapisek,Bangkok
8,Sb Rama 2,065-415-7999,Sb Rama 2,Bangkok
9,Bts Senanikhom,062-310-6989,Bts Senanikom,Bangkok
10,Ladprao,082-339-4666,Phetchaburi - Ekkamai,Bangkok
11,Phetchaburi - Ekkamai,052-080-744,Ladprao,Bangkok
12,Market Village Rang-Sit,062-083-3666,Market Village Rangsit,Bangkok
13,Ekkamai - Ram Inthra,082-329-7666,Ekkamai Ram Inthra,Bangkok
14,Seacon Square Srinagarindra,082-440-4666,Seacon Square Srinagarindra,Bangkok
15,Indexlivingmall Bangna,094-447-0914,Indexlivingmall Bangna,Bangkok
16,Active Park Ptt Station Muangthong,066-121-0515,PTT Station Active Park,Bangkok
17,Sai Mai Mall,062-064-4916,Sai Mai Mall,Bangkok
18,Mega Bangna,092-131-7217,Mega Bangna,Bangkok
19,Future Park Rangsit,092-131-7218,Future Park Rangsit,Bangkok
20,Seacon Bangkae,092-131-7219,Seacon Bangkae,Bangkok
21,Homepro Rama3,094-756-2220,Homepro Rama 3,Bangkok
22,Ptt Station West Village Bangyai,065-350-9074,Ptt Station West Village Bangyai,Bangkok
23,Index Pattaya,065-350-9075,Index Pattaya,Chonburi
24,Passione Rayong,065-350-9076,Passione Rayong,Chonburi
25,Design Village Kaset Nawamin,092-241-2200,Design Village Kaset Nawamin,Chonburi
26,J Park Sriracha,099-414-3825,J Park Sriracha,Chonburi
27,Ptt Station Angsira,094-969-9026,Ptt Station Angsira,Chonburi
